,First param,Second param,Witness time,Prover time,Verifier time
0,1,5,4.27641 seconds, 0.594525 Seconds , 0.004973 Seconds 
1,1,10,4.0672 seconds, 0.611987 Seconds , 0.006232 Seconds 
2,1,20,4.36747 seconds, 0.659677 Seconds , 0.009755 Seconds 
3,1,40,4.35268 seconds, 0.684380 Seconds , 0.016885 Seconds 
4,1,60,4.31669 seconds, 0.641709 Seconds  , 0.028125 Seconds  
5,1,80,4.27864 seconds, 1.334647 Seconds  , 0.046894 Seconds  
6,1,120,4.29997 seconds, 1.626122 Seconds  , 0.070277 Seconds  
7,2,5,10.0878 seconds, 0.799228 Seconds , 0.004690 Seconds 
8,2,10,9.45084 seconds, 0.692516 Seconds , 0.010455 Seconds 
9,2,20,9.4137 seconds, 0.766588 Seconds , 0.014698 Seconds 
10,2,40,9.49557 seconds, 0.853891 Seconds , 0.027201 Seconds 
11,2,60,9.97056 seconds, 0.751359 Seconds  , 0.034368 Seconds  
12,2,80,10.2682 seconds, 1.695588 Seconds  , 0.051040 Seconds  
13,2,120,9.45655 seconds, 1.656595 Seconds  , 0.077208 Seconds  
14,3,5,20.8337 seconds, 0.849443 Seconds , 0.005059 Seconds 
15,3,10,19.7415 seconds, 0.873545 Seconds , 0.010351 Seconds 
16,3,20,21.5911 seconds, 0.848756 Seconds , 0.014314 Seconds 
17,3,40,20.4143 seconds, 1.068050 Seconds , 0.021922 Seconds 
18,3,60,19.8713 seconds, 0.878693 Seconds  , 0.040391 Seconds  
19,3,80,20.6132 seconds, 1.544777 Seconds  , 0.057823 Seconds  
20,3,120,19.9341 seconds, 1.749607 Seconds  , 0.095735 Seconds  
21,4,5,54.6665 seconds, 1.381492 Seconds , 0.007037 Seconds 
22,4,10,55.6273 seconds, 1.184761 Seconds , 0.009263 Seconds 
23,4,20,55.856 seconds, 1.224465 Seconds , 0.012515 Seconds 
24,4,40,57.3711 seconds, 1.226915 Seconds  , 0.030462 Seconds  
25,4,60,48.9573 seconds, 1.129995 Seconds  , 0.049789 Seconds  
26,4,80,52.5856 seconds, 2.058270 Seconds  , 0.074699 Seconds  
27,4,120,48.4929 seconds, 1.890428 Seconds  , 0.083834 Seconds  
